system:index,aet,date,def,lat,lon,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs
201507_0,1028,7/1/2015,0,24.97916667,97.14583333,-365,1028,474,337,2820,1686,0,243,304,3077,63,133
201507_1,1034,7/1/2015,0,24.97916667,97.1875,-372,1034,482,338,2883,1699,0,245,305,3096,64,128
201507_2,1038,7/1/2015,0,24.97916667,97.22916667,-376,1038,487,339,2947,1704,0,244,305,3087,64,131
201507_3,1042,7/1/2015,0,24.97916667,97.27083333,-384,1042,492,338,3011,1708,0,244,305,3082,65,133
201507_4,1031,7/1/2015,0,24.9375,97.14583333,-381,1031,468,319,2893,1692,0,244,305,3097,64,127
201507_5,1035,7/1/2015,0,24.9375,97.1875,-381,1035,473,322,2943,1697,0,244,305,3092,64,132
201507_6,1039,7/1/2015,0,24.9375,97.22916667,-384,1039,478,324,2994,1701,0,244,305,3081,65,133
201507_7,1039,7/1/2015,0,24.9375,97.27083333,-393,1039,484,324,3044,1704,0,244,305,3078,65,130
201507_8,1041,7/1/2015,0,24.9375,97.3125,-402,1041,487,323,3095,1710,0,244,305,3075,65,126
201507_9,1041,7/1/2015,0,24.9375,97.35416667,-406,1041,493,326,3145,1712,0,245,306,3077,67,118
201507_10,1045,7/1/2015,0,24.9375,97.39583333,-414,1045,491,321,3195,1722,0,243,304,3045,66,125
201507_11,1031,7/1/2015,0,24.89583333,97.14583333,-382,1031,461,310,2966,1683,0,244,306,3087,65,134
201507_12,1034,7/1/2015,0,24.89583333,97.1875,-387,1034,465,311,3003,1691,0,244,305,3078,65,134
201507_13,1038,7/1/2015,0,24.89583333,97.22916667,-393,1038,471,313,3040,1698,0,244,305,3078,65,133
201507_14,1040,7/1/2015,0,24.89583333,97.27083333,-401,1040,475,310,3077,1703,0,243,305,3062,66,133
201507_15,1041,7/1/2015,0,24.89583333,97.3125,-410,1041,480,312,3114,1707,0,243,306,3072,66,126
201507_16,1042,7/1/2015,0,24.89583333,97.35416667,-419,1042,483,311,3151,1714,0,243,305,3066,66,124
201507_17,1049,7/1/2015,0,24.89583333,97.39583333,-427,1049,482,306,3189,1724,0,242,304,3038,66,132
201507_18,1029,7/1/2015,0,24.85416667,97.14583333,-389,1029,452,298,3040,1681,0,243,305,3076,65,134
201507_19,1030,7/1/2015,0,24.85416667,97.1875,-393,1030,458,301,3063,1685,0,242,305,3063,65,134
201507_20,1032,7/1/2015,0,24.85416667,97.22916667,-398,1032,463,302,3087,1690,0,243,305,3062,65,129
201507_21,1037,7/1/2015,0,24.85416667,97.27083333,-407,1037,469,301,3111,1697,0,243,305,3065,66,128
201507_22,1041,7/1/2015,0,24.85416667,97.3125,-415,1041,472,301,3134,1706,0,243,306,3068,66,128
201507_23,1045,7/1/2015,0,24.85416667,97.35416667,-424,1045,474,299,3158,1714,0,243,305,3060,66,128
201507_24,1048,7/1/2015,0,24.85416667,97.39583333,-430,1048,479,300,3182,1720,0,244,305,3061,67,125
201507_25,1022,7/1/2015,0,24.8125,97.14583333,-393,1022,441,286,3113,1671,0,240,302,3018,65,133
201507_26,1024,7/1/2015,0,24.8125,97.1875,-399,1024,449,289,3123,1677,0,241,304,3037,65,129
201507_27,1028,7/1/2015,0,24.8125,97.22916667,-407,1028,454,287,3134,1684,0,241,304,3035,65,128
201507_28,1034,7/1/2015,0,24.8125,97.27083333,-416,1034,461,287,3144,1692,0,242,305,3050,67,125
201507_29,1042,7/1/2015,0,24.8125,97.3125,-419,1042,466,290,3154,1702,0,243,306,3064,68,127
201507_30,1042,7/1/2015,0,24.8125,97.35416667,-431,1042,465,286,3165,1709,0,242,304,3031,66,131
