sensor,threshold,lambda,medLagFast,medLagSlow
L8S2,0.1,0.05,2,5
L8S2,0.1,0.1,2,5
L8S2,0.1,0.15,2,5
L8S2,0.1,0.2,2,5
L8S2,0.1,0.25,2,5
L8S2,0.1,0.3,1.5,5
L8S2,0.1,0.35,1.5,5
L8S2,0.1,0.4,1.5,5
L8S2,0.1,0.45,1.5,5
L8S2,0.1,0.5,1,5
L8S2,0.1,0.55,1,5
L8S2,0.1,0.6,1,5
L8S2,0.1,0.65,1,5
L8S2,0.1,0.7,1,5
L8S2,0.1,0.75,1,5
L8S2,0.1,0.8,1,5
L8S2,0.1,0.85,1,5
L8S2,0.1,0.9,1,5
L8S2,0.1,0.95,1,5
L8S2,0.1,1,1,5
L8S2,0.2,0.05,2,5
L8S2,0.2,0.1,2,5
L8S2,0.2,0.15,2,5
L8S2,0.2,0.2,2,5
L8S2,0.2,0.25,2,5
L8S2,0.2,0.3,2,5
L8S2,0.2,0.35,2,5
L8S2,0.2,0.4,2,5
L8S2,0.2,0.45,2,5
L8S2,0.2,0.5,2,5
L8S2,0.2,0.55,2,5
L8S2,0.2,0.6,2,5
L8S2,0.2,0.65,2,5
L8S2,0.2,0.7,2,5
L8S2,0.2,0.75,2,5
L8S2,0.2,0.8,2,5
L8S2,0.2,0.85,1,5
L8S2,0.2,0.9,1,5
L8S2,0.2,0.95,1,5
L8S2,0.2,1,1,5
L8S2,0.3,0.05,3,6
L8S2,0.3,0.1,3,6
L8S2,0.3,0.15,3,6
L8S2,0.3,0.2,3,5
L8S2,0.3,0.25,2,5
L8S2,0.3,0.3,2,5
L8S2,0.3,0.35,2,5
L8S2,0.3,0.4,2,5
L8S2,0.3,0.45,2,5
L8S2,0.3,0.5,2,5
L8S2,0.3,0.55,2,5
L8S2,0.3,0.6,2,5
L8S2,0.3,0.65,2,5
L8S2,0.3,0.7,2,5
L8S2,0.3,0.75,2,5
L8S2,0.3,0.8,2,5
L8S2,0.3,0.85,2,5
L8S2,0.3,0.9,2,5
L8S2,0.3,0.95,2,5
L8S2,0.3,1,2,5
L8S2,0.4,0.05,4,7
L8S2,0.4,0.1,3,6
L8S2,0.4,0.15,3,6
L8S2,0.4,0.2,3,6
L8S2,0.4,0.25,3,5
